code;ratingc;e;d;c;b;a;resc
10843;E;0;0;0;0;0;0
10835;E;0;0;0;0;0;0
10140;E;0;0;0;0;0;0
10139;E;0;0;0;0;0;0
8487;E;0;0;0;0;0;0
6357;D;0;0;1;0;0;2
8493;E;1;0;0;0;0;3
10837;E;0;0;0;0;0;0
10702;C;0;0;0;0;0;0
9799;E;2;0;0;0;0;6
10846;E;0;0;0;0;0;0
9308;E;0;0;0;0;0;0
10844;E;0;0;0;0;0;0
6359;D;0;0;1;0;0;2
10701;E;0;0;0;0;0;0
4398;D;0;0;0;0;0;0
5048;C;0;0;0;4;0;8
10144;E;0;0;0;0;0;0
10143;E;0;0;0;0;0;0
10836;E;0;0;0;0;0;0
11219;E;0;0;0;0;0;0
10753;E;0;0;0;0;0;0
10741;E;0;0;0;0;0;0
11377;E;0;0;0;0;0;0
9315;C;0;0;0;0;0;0
8492;E;0;0;0;0;0;0
10700;C;0;0;0;0;0;0
10711;C;0;0;0;0;0;0
11374;E;0;0;0;0;0;0
11373;E;0;0;0;0;0;0
11364;E;0;0;0;0;0;0
7187;E;0;0;0;0;0;0
11363;E;0;0;0;0;0;0
10255;D;9;6;0;0;0;6
8482;E;1;0;0;0;0;3
8483;E;0;0;0;0;0;0
8500;E;0;0;0;0;0;0
10535;C;0;0;0;0;0;0
10630;E;0;0;0;0;0;0
11668;E;0;0;0;0;0;0
8831;E;0;0;0;0;0;0
2361;B;0;12;12;3;0;3
2780;D;0;0;0;0;0;0
6646;E;2;0;0;0;0;6
7592;D;0;3;0;0;0;3
7606;D;0;3;0;0;0;3
4112;E;0;0;0;0;0;0
11421;E;0;0;0;0;0;0
9699;E;0;0;0;0;0;0
1556;D;0;0;0;0;0;0
6282;E;2;0;0;0;0;6
5583;D;0;2;0;0;0;2
9524;E;0;0;0;0;0;0
5563;E;0;0;0;0;0;0
6539;E;0;0;0;0;0;0
2423;D;0;1;0;0;0;1
1926;D;0;1;0;0;0;1
10712;E;0;0;0;0;0;0
10404;E;0;0;0;0;0;0
10201;D;7;0;0;0;0;0
7163;D;7;0;0;0;0;0
2267;C;0;13;0;0;0;0
4884;C;4;13;0;0;0;0
7514;D;4;0;0;0;0;0
11833;E;0;0;0;0;0;0
4028;C;5;13;0;0;0;0
9108;E;0;0;0;0;0;0
9145;E;0;0;0;0;0;0
9865;D;4;0;0;0;0;0
5509;D;4;0;0;0;0;0
2764;B;0;14;12;0;0;0
2256;D;0;0;0;0;0;0
11246;D;4;0;0;0;0;0
11254;D;4;0;0;0;0;0
9626;E;0;0;0;0;0;0
1321;D;0;0;0;0;0;0
5872;D;4;0;0;0;0;0
7579;D;4;0;0;0;0;0
10004;E;0;0;0;0;0;0
223;A;0;0;0;3;0;0
2385;B;0;11;13;11;0;11
6512;E;0;0;0;0;0;0
1805;D;0;3;0;0;0;3
5227;D;5;2;0;0;0;2
3219;E;0;0;0;0;0;0
7423;E;0;0;0;0;0;0
11649;E;0;0;0;0;0;0
9717;D;5;0;0;0;0;0
8042;D;5;0;0;0;0;0
5364;C;0;0;0;0;0;0
753;B;0;13;12;0;0;0
5531;E;1;0;0;0;0;3
4661;E;0;0;0;0;0;0
754;D;0;0;0;0;0;0
6868;E;1;0;0;0;0;3
755;C;0;14;2;0;0;2
9595;E;2;0;0;0;0;6
3702;E;0;0;0;0;0;0
10825;E;1;0;0;0;0;3
9477;E;0;0;0;0;0;0
7440;E;0;0;0;0;0;0
9031;E;0;0;0;0;0;0
8484;E;0;0;0;0;0;0
1979;C;0;0;7;0;0;7
7418;D;5;0;0;0;0;0
5342;B;1;15;13;0;0;0
6575;E;0;0;0;0;0;0
1611;C;0;13;1;0;0;1
2309;D;0;0;0;0;0;0
9980;E;1;0;0;0;0;3
5762;E;0;0;0;0;0;0
382;C;0;0;5;0;0;5
6438;D;0;2;0;0;0;2
7396;E;3;0;0;0;0;9
1882;B;0;13;12;0;0;0
2936;E;0;0;0;0;0;0
3843;B;0;12;8;11;0;11
10080;E;0;0;0;0;0;0
10256;E;0;0;0;0;0;0
5472;E;2;0;0;0;0;6
7053;E;3;0;0;0;0;9
